candidate,provider,preset,model,case,kind,seconds,exit,score,notes,output,stderr
ollama-duzelt,ollama,duzelt,,messy_feature_question,minimal,6.74,0,10,,"Dosyalar kısmındaki kart ve liste görünümünü ve diğer kalan klasördeki ayarlar, toplu seçim, zipleme vesaire davranışları müşteri kaynaklarındaki dosyalarda yok. Aynı özellikler olabilir mi?",
ollama-duzelt,ollama,duzelt,,revize_timecode,chat,1.45,0,10,,"Gözden kaçmasın diye yazıyorum. Revizede 2.04-2.27 arası çıksın denmiş, biz de o yüzden çıkardık. Gerekirse yine müdahale ederiz.",
ollama-duzelt,ollama,duzelt,,mail_brief,mail,1.38,0,10,,"Fatih Bey, merhabalar. 6 Ağustos Genceytnk için ekip gerekiyor; fotoğraf, video, backstage vb. Bütçe ve uygunluk bilgisi rica ediyoruz. Detaylar aşağıda yazılıdır.",
ollama-duzelt,ollama,duzelt,,negation_risk,minimal,1.05,0,10,,"Şu dosyaları müşteriye göndermeyelim, daha onay gelmedi ama ekip görsün diye buraya atalım.",
ollama-duzelt,ollama,duzelt,,question_not_answer,minimal,1.09,0,10,,"Bu ekranda toplu seçim yok mu? Varsa ben mi göremedim, yoksa müşteri kaynaklarında mı farklı çalışıyor?",
ollama-duzelt,ollama,duzelt,,long_telegram,minimal,3.88,0,10,,"Dosyalar kısmındaki kart ve liste görünümünü ve diğer kalan klasördeki ayarlar, toplu seçim zipleme vesaire davranışları müşteri kaynaklarındaki dosyalarda yok. Aynı özellikler olabilir mi? /  / Bu benim normal Telegram'daki bir mesajım. Sence bu tarz mesajları yazdığımda bunu daha düzenli hale getirmesi mümkün mü, okunurluğu bozmadan en azından tırnaklama, virgül, nokta falan gibi amele işlerini yapan bir local app var mı? Yazdığımı düzeltecek bir eklenti gibi, Grammarly'nin evrensel hali gibi ",
ollama-chat,ollama,chat,,messy_feature_question,minimal,1.66,0,10,,"Dosyalar kısmındaki kart ve liste görünümü ile diğer klasörlerdeki ayar, toplu seçim, zipleme gibi davranışlar müşteri kaynaklarındaki dosyalarda da olabilir mi?",
ollama-chat,ollama,chat,,revize_timecode,chat,1.61,0,10,,"Gözden kaçmaması adına iletiyorum: Revizede 2.04-2.27 arası çıkarılması yönlendirilmişti, biz de bu nedenle o kısmı çıkardık. Düzenlenmesi gereken bir durum olursa yine müdahale edebiliriz.",
ollama-chat,ollama,chat,,mail_brief,mail,1.35,0,10,,"Fatih Bey, merhabalar. 6 Ağustos Gencytnk için fotoğraf, video ve backstage çekimleri için ekip gerekiyor. Bütçe ve uygunluk bilgisiyle birlikte detayları aşağıda bulabilirsiniz.",
ollama-chat,ollama,chat,,negation_risk,minimal,1.09,0,10,,Bu dosyaları henüz müşteriye göndermeyelim. Onay gelmeden ekibin incelemesi için buraya atabiliriz.,
ollama-chat,ollama,chat,,question_not_answer,minimal,1.1,0,10,,"Bu ekranda toplu seçim yok mu? Varsa ben mi göremedim, yoksa müşteri kaynaklarında mı farklı çalışıyor?",
ollama-chat,ollama,chat,,long_telegram,minimal,4.09,0,10,,"Dosyalar kısmındaki kart ve liste görünümü ile diğer klasörlerdeki ayarlar, toplu seçim, zipleme gibi davranışlar müşteri kaynaklarındaki dosyalarda yok. Aynı özellikler müşteri kaynaklarında da olabilir mi? /  / Bu benim normal Telegram'daki bir mesajım. Sence bu tarz mesajları yazdığımda daha düzenli hale getirmesi mümkün mü? Okunurluğu bozmadan, tırnaklama, virgül, nokta gibi işleri yapan bir local app var mı? Yazdığımı düzeltecek bir eklenti gibi, Grammarly'nin evrensel hali gibi küçük bir L",
ollama-mail,ollama,mail,,messy_feature_question,minimal,1.88,0,7,"missing:olabilir,forbid:kontrol edeceğiz","Müşteri kaynaklarındaki dosyalarda, dosyalar kısmındaki kart ve liste görünümü ile diğer klasörlerdeki ayarlar, toplu seçim ve zipleme gibi özelliklerin olup olmadığını kontrol edeceğiz.",
ollama-mail,ollama,mail,,revize_timecode,chat,1.39,0,10,,"Revizede 2.04-2.27 arası çıkarılması yönünde talimat almıştık, bu nedenle ilgili kısmı çıkardık. Gerekirse düzenleme yapabiliriz.",
ollama-mail,ollama,mail,,mail_brief,mail,1.65,0,10,,"Fatih Bey, /  / Merhaba, /  / 6 Ağustos'taki Gencytnk etkinliği için fotoğraf, video ve backstage çekimleri konusunda ekip talebimiz bulunmaktadır. Bütçe ve uygunluk bilgilerinizi rica ediyoruz. Detaylar aşağıda belirtilmiştir.",
ollama-mail,ollama,mail,,negation_risk,minimal,1.34,0,9,missing:göndermeyelim,"Bu dosyaların henüz müşteri onayı olmadığı için şimdilik gönderilmemesi, ekibin incelemesi amacıyla buraya yüklendiği bilgisi doğru anlıyorum.",
ollama-mail,ollama,mail,,question_not_answer,minimal,1.45,0,8,"missing:yok mu,missing:çalışıyor","Bu ekranda toplu seçim özelliği olup olmadığını kontrol ettim, görünüşe göre mevcut değil. Müşteri kaynaklarında farklı bir şekilde çalışıp çalışmadığını da değerlendirebiliriz.",
